Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,25000,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
1.1500000000000001,8,-2.7631600460154004e-05
1.1500000000000001,9,-2.7631600460154004e-05
1.1500000000000001,1,-2.763158772722818e-05
1.1500000000000001,2,-2.763158772722818e-05
1.1500000000000001,3,-2.7631584089249372e-05
1.1500000000000001,4,-2.7631584089249372e-05
1.1500000000000001,5,-2.7631584089249372e-05
1.1500000000000001,6,-2.7631584089249372e-05
1.1500000000000001,7,-2.7631584089249372e-05
1.1500000000000001,8,-2.7631584089249372e-05
1.1500000000000001,9,-2.7631584089249372e-05
1.2000000000000002,1,0.0
1.2000000000000002,2,0.0
1.2000000000000002,3,0.0
1.2000000000000002,4,0.0
1.2000000000000002,5,0.0
1.2000000000000002,6,0.0
1.2000000000000002,7,0.0
1.2000000000000002,8,0.0
1.2000000000000002,9,0.0
1.2000000000000002,1,0.0
1.2000000000000002,2,0.0
1.2000000000000002,3,0.0
1.2000000000000002,4,0.0
1.2000000000000002,5,0.0
1.2000000000000002,6,0.0
1.2000000000000002,7,0.0
1.2000000000000002,8,0.0
1.2000000000000002,9,0.0
1.2000000000000002,1,-2.7631591365206987e-05
1.2000000000000002,2,-2.7631595003185794e-05
1.2000000000000002,3,-2.7631595003185794e-05
1.2000000000000002,4,-2.7631595003185794e-05
1.2000000000000002,5,-2.7631595003185794e-05
1.2000000000000002,6,-2.7631595003185794e-05
1.2000000000000002,7,-2.7631600460154004e-05
1.2000000000000002,8,-2.7631600460154004e-05
1.2000000000000002,9,-2.7631600460154004e-05
1.2000000000000002,1,-2.763158772722818e-05
1.2000000000000002,2,-2.763158772722818e-05
1.2000000000000002,3,-2.7631584089249372e-05
1.2000000000000002,4,-2.7631584089249372e-05
1.2000000000000002,5,-2.7631584089249372e-05
1.2000000000000002,6,-2.7631584089249372e-05
1.2000000000000002,7,-2.7631584089249372e-05
1.2000000000000002,8,-2.7631584089249372e-05
1.2000000000000002,9,-2.7631584089249372e-05
1.2000000000000002,1,-2.763158227025997e-05
1.2000000000000002,2,-2.7631584089249372e-05
1.2000000000000002,3,-2.7631585908238776e-05
1.2000000000000002,4,-2.763158772722818e-05
1.2000000000000002,5,-2.7631589546217583e-05
1.2000000000000002,6,-1.4473681403615046e-05
1.2000000000000002,7,-2.7631580451270565e-05
1.2000000000000002,8,-2.7631580451270565e-05
1.2000000000000002,9,-2.7631580451270565e-05
1.2500000000000002,1,0.0
1.2500000000000002,2,0.0
1.2500000000000002,3,0.0
1.2500000000000002,4,0.0
1.2500000000000002,5,0.0
1.2500000000000002,6,0.0
1.2500000000000002,7,0.0
1.2500000000000002,8,0.0
1.2500000000000002,9,0.0
1.2500000000000002,1,0.0
1.2500000000000002,2,0.0
1.2500000000000002,3,0.0
1.2500000000000002,4,0.0
1.2500000000000002,5,0.0
1.2500000000000002,6,0.0
1.2500000000000002,7,0.0
1.2500000000000002,8,0.0
1.2500000000000002,9,0.0
1.2500000000000002,1,-2.7631591365206987e-05
1.2500000000000002,2,-2.7631595003185794e-05
1.2500000000000002,3,-2.7631595003185794e-05
1.2500000000000002,4,-2.7631595003185794e-05
1.2500000000000002,5,-2.7631595003185794e-05
1.2500000000000002,6,-2.7631595003185794e-05
1.2500000000000002,7,-2.7631600460154004e-05
1.2500000000000002,8,-2.7631600460154004e-05
1.2500000000000002,9,-2.7631600460154004e-05
1.2500000000000002,1,-2.763158772722818e-05
